,disease 1,disease 2,distance
0,acute myeloid leukemia,infantile hemangioma,4.0375651399782
0,acute myeloid leukemia,intervertebral disc degeneration,3.9717616139294933
0,acute myeloid leukemia,leukoaraiosis,4.052560603039051
0,acute myeloid leukemia,liver cancer,3.365577595447196
0,acute myeloid leukemia,lung adenocarcinoma,4.134196812224555
0,acute myeloid leukemia,lung cancer,3.9726796174430365
0,acute myeloid leukemia,lupus nephritis,3.9930363753782636
0,acute myeloid leukemia,major depressive disorder,3.83208588851482
0,acute myeloid leukemia,moyamoya disease,4.001424265277899
0,acute myeloid leukemia,multiple sclerosis,4.026591729616771
0,acute myeloid leukemia,multiple system atrophy,4.545963017489362
0,acute myeloid leukemia,myocardial infarction,3.706224064335699
0,acute myeloid leukemia,neuropathic pain,4.725988885787682
0,acute myeloid leukemia,nonalcoholic steatohepatitis,4.0268495977347
0,acute myeloid leukemia,non-small cell lung cancer,3.83894179015371
0,acute myeloid leukemia,oral squamous cell carcinoma,3.3680464597631756
0,acute myeloid leukemia,osteoarthritis,4.076322273862724
0,acute myeloid leukemia,osteosarcoma,3.7648504683986665
0,acute myeloid leukemia,ovarian endometriosis,3.4018306865052605
0,acute myeloid leukemia,pancreatic cancer,4.0565214372862
0,acute myeloid leukemia,pancreatic ductal adenocarcinoma,3.6644292311547506
0,acute myeloid leukemia,papillary thyroid carcinoma,3.6494171094150327
0,acute myeloid leukemia,pre-eclampsia,4.121041565822266
0,acute myeloid leukemia,prostate adenocarcinoma,3.4046108377358877
0,acute myeloid leukemia,prostate cancer,3.9145369024787153
0,acute myeloid leukemia,pulmonary tuberculosis,3.429320497091273
0,acute myeloid leukemia,rheumatoid arthritis,3.786847898457752
0,acute myeloid leukemia,silicosis,4.121759191474683
0,acute myeloid leukemia,systemic lupus erythematosus,4.2171254668116
0,acute myeloid leukemia,thoracic aortic dissection,3.353297460893522
0,acute myeloid leukemia,tuberculosis,3.7514353883506297
0,acute myeloid leukemia,type 2 diabetes mellitus,3.992987022624969
0,acute promyelocytic leukemia,acute respiratory distress syndrome,3.995261450612852
0,acute promyelocytic leukemia,alzheimer's disease,3.4662366938532077
0,acute promyelocytic leukemia,atherosclerosis,3.595096138331885
0,acute promyelocytic leukemia,basal cell carcinoma,3.774154792934341
0,acute promyelocytic leukemia,bladder cancer,3.8671515715908553
0,acute promyelocytic leukemia,bladder urothelial carcinoma,4.0384844750453865
0,acute promyelocytic leukemia,breast cancer,3.5522509862314027
0,acute promyelocytic leukemia,cardiovascular disease,3.45034211695427
0,acute promyelocytic leukemia,cervical cancer,3.2606640469623143
0,acute promyelocytic leukemia,cervical carcinoma,3.760439712921069
0,acute promyelocytic leukemia,cholangiocarcinoma,3.410802381362719
0,acute promyelocytic leukemia,clear cell renal cell carcinoma,4.234285886867374
0,acute promyelocytic leukemia,colon cancer,3.8220712771479204
0,acute promyelocytic leukemia,colorectal cancer,3.7530047384488916
0,acute promyelocytic leukemia,coronary artery disease,3.3523983150677643
0,acute promyelocytic leukemia,cutaneous squamous cell carcinoma,3.742034519238607
0,acute promyelocytic leukemia,diabetes mellitus,3.4498550105022905
0,acute promyelocytic leukemia,diabetic retinopathy,3.4467617332041054
0,acute promyelocytic leukemia,dilated cardiomyopathy,4.599568651656372
0,acute promyelocytic leukemia,endometrial cancer,4.078943447373652
0,acute promyelocytic leukemia,esophageal cancer,4.135530792931293
0,acute promyelocytic leukemia,esophageal squamous cell carcinoma,4.103776081866971
0,acute promyelocytic leukemia,essential hypertension,3.5611341866976645
0,acute promyelocytic leukemia,gastric cancer,3.7899013057789284
0,acute promyelocytic leukemia,gestational diabetes mellitus,3.254033124179178
